gender,urban_rural,internet_access_hours,family_income_level,brain_rot_level,attention_span_minutes,academic_motivation,education_level,short_video_hours,social_media_hours
Male,Rural,5.16610032,Low,Moderate,48.52195842,5.072331399,Dropout,2.650855285,5.105446986
Male,Rural,3.77759732,Middle,Low,55.31019985,9.048311806,Postgraduate,1.72401986,2.958946857
Female,Urban,5.56516828,Low,Low,55.3343595,4.825302376,School,1.456236909,2.804084092
Male,Urban,4.938542326,Middle,Low,48.28595423,4.417180686,Graduate,1.782656301,3.912734265
Other,Rural,3.3024269,Middle,Low,51.57866643,4.601516224,School,1.721675601,3.270511085
Male,Rural,7.472699708,Low,Moderate,40.46590988,3.811890385,School,2.531043309,5.84757472
Female,Urban,6.303748063,High,Low,54.13292277,5.285971073,Graduate,1.134316163,2.683417143
Female,Rural,4.504142402,Middle,Low,55.10053832,6.428952538,Graduate,1.274813136,2.455077359
Male,Urban,2.765937451,Low,Low,55.08023415,4.65956397,School,0.504657022,1.668790015
Female,Rural,6.169545262,Middle,Low,52.63861818,6.784119224,School,1.204901314,3.549491513
Male,Urban,6.174111304,Middle,Low,58.1826821,7.707413351,Graduate,1.660851364,3.293953958
Female,Urban,8.800949605,Low,Low,56.77681638,6.78254926,School,2.120279452,6.807328147
Female,Urban,3.816266176,Low,Low,46.69158756,1.853025284,School,1.516512364,2.968610607
Female,Rural,5.916619781,Low,Low,60,7.942078837,Graduate,1.599300531,2.929257766
Male,Rural,5.068966433,Low,Low,50.90250275,3.252904307,Diploma,1.002079171,3.288812303
Female,Urban,4.194703889,Middle,Low,60,5.584053787,Diploma,0.830272985,2.012259947
Male,Rural,4.924607561,Middle,Low,54.29599219,4.814306789,School,1.892982021,3.699714137
Male,Urban,4.555614168,Middle,Low,53.6558836,4.295994833,Diploma,1.071793121,2.093107348
Male,Rural,3.819823622,Low,Low,53.72505569,5.142306621,School,0.965972797,1.747881328
Male,Rural,5.325242154,Middle,Low,46.20680683,5.02082819,Graduate,1.210389228,3.515429643
Female,Rural,5.775019737,Low,Low,52.412345,4.235929987,School,1.024144144,1.83008905
Male,Rural,3.655229455,Middle,Low,57.00147509,5.480714816,Postgraduate,0.805765661,2.135251855
Female,Urban,6.521722501,Middle,Low,52.36700584,6.118196966,Graduate,1.238091359,3.068004321
Male,Urban,6.627550639,High,Low,56.0385187,5.717251863,Graduate,1.660213034,3.664397013
Male,Urban,4.003492519,Middle,Low,47.89031795,5.629405957,Graduate,1.001197045,2.875488262
Male,Urban,4.325838951,High,Low,56.66552866,6.729504778,Diploma,1.52968344,3.562550206
Male,Urban,3.094888817,Middle,Low,55.55936964,5.785378802,School,1.552574999,3.415868267
Male,Urban,4.584557716,High,Low,48.50930955,4.102170239,School,0.82327164,2.679237332
Male,Urban,5.855449635,Low,Low,53.2220345,4.869020179,Diploma,1.765405735,3.505612693
Female,Urban,3.721366624,Low,Low,50.43118499,1.962639366,Dropout,1.355232847,2.75957094
Female,Rural,4.998897382,Low,Low,55.42330416,4.148153755,Diploma,1.5219851,3.746562956
Female,Urban,3.650920313,Low,Low,53.45441722,5.96796652,Graduate,0.965397838,2.00178253
Female,Urban,4.150366402,Middle,Low,58.00206584,7.186642176,Graduate,1.268554665,3.210273396
Male,Rural,5.685859097,Middle,Low,50.91553049,3.387478437,School,1.24809298,3.082125371
Female,Rural,6.528117755,Middle,Low,53.18062336,5.971130944,Graduate,1.903715983,3.257396637
Male,Urban,3.669168347,Middle,Low,54.48422244,7.718189435,Graduate,1.600931646,4.317132564
Female,Urban,1.102096276,Low,Low,57.49087325,5.894707863,Diploma,0.568642172,1.462408084
Male,Rural,6.598925127,Middle,Low,46.28950723,2.547530397,Dropout,1.994125784,3.781313296
Male,Urban,6.868136094,Middle,Low,58.48070878,8.21320059,Diploma,0.927467752,3.071546493
Male,Rural,2.710512849,High,Low,60,4.97430498,Diploma,0.28315973,0.894640608
Female,Rural,6.693324291,Middle,Moderate,47.36473914,4.767841694,Diploma,2.70313908,4.566658192
Male,Urban,6.525428544,Low,Moderate,47.75889927,7.588421745,School,3.615464699,6.037226133
Female,Rural,4.160527126,Low,Low,51.17085205,4.87686605,School,1.862628025,4.218824966
Male,Urban,4.796639192,Middle,Low,47.56781423,3.393784395,Dropout,1.897843506,4.123382361
Female,Urban,6.118252234,Middle,Low,52.82589827,6.440755079,Diploma,1.626461811,3.00275511
Male,Rural,4.387712546,Middle,Low,44.34794682,1.966449291,Dropout,1.67110437,2.955733415
Male,Rural,4.56593013,High,Low,60,7.354260039,PhD,1.222179967,2.731755956
Female,Urban,2.554648979,Middle,Low,51.20185251,3.409069728,School,0.877261263,1.614706278
Female,Rural,3.406873088,Low,Low,43.24448309,1.686183621,School,0.88090296,1.926834407
Female,Rural,3.99034828,Middle,Low,60,5.626907838,School,0.550299338,1.504746292
Male,Urban,7.994884541,Middle,Moderate,47.3324865,1.488623395,Dropout,2.675514544,7.020642486
Male,Urban,5.073559995,Middle,Low,57.28841857,8.171053038,Diploma,1.368132639,4.328805754
Female,Rural,6.169739955,High,Low,55.84467545,7.444496964,School,2.153003944,4.183211112
Male,Urban,7.117946003,Low,Moderate,46.41990911,2.455324936,School,2.112400337,5.803466191
Female,Urban,6.431046912,Middle,Moderate,46.65200064,5.675617886,Graduate,2.710886902,5.312698996
Female,Rural,6.60886399,Middle,Low,50.50093786,3.552207424,Diploma,1.415690233,3.491572834
Male,Urban,3.73410619,Low,Low,55.42892573,4.018127718,School,2.042102898,3.435755511
Male,Rural,6.912265274,Middle,Low,51.57576269,5.319979675,Graduate,2.575028328,5.116497217
Male,Rural,3.040794529,Low,Low,60,4.974317806,School,0.954014345,1.934653285
Female,Urban,4.473672944,Low,Low,58.95472889,7.711596077,Diploma,1.180291976,2.596097555
Male,Rural,2.81436925,Low,Low,56.64461863,6.388070926,Graduate,0.673791125,1.895400404
Male,Rural,5.686759526,Middle,Low,56.40780974,6.311920203,Graduate,1.428270663,3.037465574
Female,Urban,4.285403921,Low,Low,59.10261107,5.345189227,Diploma,1.302302924,2.84294799
Female,Urban,2.893504858,Low,,60,7.066638828,Graduate,0.674157966,1.571522361
Other,Rural,6.879300427,Middle,Low,51.4156187,5.082081805,School,1.983526204,4.196346328
Male,Rural,4.666578193,High,Low,55.49307384,4.705749614,Diploma,0.630508867,1.9902387
Male,Urban,5.598919813,Middle,Low,56.88076955,5.072690841,Diploma,1.621795891,3.32613188
Male,Urban,4.818318786,High,Low,51.41859402,6.17720863,Diploma,1.568257157,3.75860651
Female,Rural,6.287577161,Middle,Low,59.91629134,7.683140199,School,1.662278226,3.809323183
Female,Urban,3.240585933,Middle,Low,60,7.174810134,School,1.114340134,2.606730385
Male,Urban,6.042312849,Low,Low,46.48889588,2.574694368,Dropout,1.525243562,3.905238563
Female,Urban,8.672888365,Middle,Moderate,48.19081393,3.599139379,School,3.59040312,6.32762023
Male,Urban,3.009100917,Low,Low,52.11091849,3.147093526,Diploma,0.916536417,2.688661348
Female,Urban,4.875766061,Middle,Low,54.53507289,7.06439246,Graduate,1.494854798,3.938020465
Female,Urban,2.154371377,Low,Low,60,7.563578388,Graduate,0.642371952,1.128151337
Other,Rural,5.149081753,Middle,Low,51.94541627,3.242127378,Dropout,1.941285669,4.103469479
Female,Rural,5.242739457,Low,Low,54.1942219,6.831958023,Diploma,1.392635277,3.228433538
Male,Urban,7.574369119,High,Low,60,7.080603168,Graduate,0.863203909,2.042505183
Male,Urban,3.847406502,Middle,Low,52.50393942,5.351393998,School,1.015212312,3.022096656
Male,Urban,8.162853326,Middle,Low,59.65766155,7.951661611,PhD,2.611319831,4.438225727
Male,Urban,5.813750355,Low,Low,51.69229149,6.202655003,School,2.416383402,4.081362617
Female,Urban,3.178428862,Low,Low,46.96333309,2.317891161,Graduate,1.312624549,2.879416868
Male,Urban,4.078756575,Low,Low,51.84848031,3.344693496,School,0.693724888,2.169275594
Female,Urban,6.62283351,Middle,Moderate,43.90131898,4.349506647,Dropout,2.451209621,6.095469598
Male,Urban,6.812935637,Low,Low,50.68114304,3.408473493,Diploma,1.008725697,2.535715249
Male,Urban,4.989237586,High,Low,51.15934705,6.179307634,School,1.750696532,3.440643781
Female,Urban,4.885454841,Low,Moderate,52.51998072,7.16876666,School,2.32717003,4.32449356
Male,Rural,5.212649599,Middle,Low,53.91411245,7.476450305,Diploma,1.696428125,4.128422377
Male,Rural,4.800990129,Middle,Low,51.11995011,4.132246724,Graduate,1.127230217,3.212059339
Male,Rural,3.189496931,High,Low,60,6.3927208,Graduate,1.012316147,2.231518328
Female,Rural,3.169573514,Low,Low,53.38598994,4.235857243,Dropout,1.68094319,3.096585157
Male,Urban,5.909962356,Low,Low,47.89737568,3.727009455,Dropout,1.265932293,3.828602914
Female,Urban,3.732612794,Low,Low,59.11039947,6.188729925,School,1.231609127,2.322211128
Male,Urban,4.595722852,Middle,Low,48.84709967,1.822188371,Dropout,1.497109741,2.668008134
Male,Urban,3.213318666,Low,Low,60,7.88491431,Postgraduate,0.316434249,0.55792027
Female,Urban,2.310687519,Middle,Low,56.44372877,5.568969946,School,1.554347208,3.197632021
Female,Urban,3.798806091,Middle,Low,55.02477069,3.923569429,School,1.205092233,3.889497141
Male,Urban,5.115933441,Middle,Low,60,7.417940374,School,1.643155828,3.03670717
Female,Rural,6.061570967,Middle,Low,55.93174902,6.93725786,Diploma,1.906320552,3.282499361
Male,Urban,4.624649095,Low,Low,52.78928439,5.470997341,Diploma,1.572270206,3.081688066
Male,Urban,3.168513241,Middle,Low,56.525868,5.438905803,Graduate,0.123614349,0.311218873
Male,Rural,6.414239831,Low,Low,51.95545223,3.926280921,School,2.088901708,4.40319217
Female,Urban,5.213969571,Middle,Low,57.36072078,7.025627225,Graduate,1.75252937,3.736103903
Male,Urban,4.565806516,Low,Low,51.50396357,4.408509505,School,1.838673762,3.745246164
Male,Urban,5.397430538,High,Low,54.6365353,4.324714666,Diploma,2.151838534,3.998677598
Female,Rural,3.268760951,Low,Low,49.60496459,4.97089785,School,1.847511299,3.216968045
Male,Urban,3.901400449,Middle,Low,51.61637622,5.586713584,Diploma,1.832615267,3.301430754
Female,Rural,7.982443879,High,Moderate,56.3517434,9.001699926,Postgraduate,2.729679506,5.81685863
Female,Rural,5.702605329,Middle,Moderate,48.49737088,6.918375762,Diploma,1.472073481,4.098042471
Female,Rural,2.241378962,Middle,Low,60,5.740506002,School,0.305882758,0.995944754
Female,Urban,8.473841328,Low,Low,55.7663019,7.674554105,Graduate,2.196956193,4.262141225
Male,Urban,5.709779555,Middle,Moderate,50.03442011,6.653962224,Postgraduate,2.373062322,4.194728537
Male,Urban,5.181801468,High,Low,57.18048765,5.320651638,Postgraduate,0.83735661,2.705695314
Female,Rural,4.367107813,Middle,Low,51.5941758,6.019110935,School,2.037721397,3.748371781
Female,Urban,1.710611515,Middle,Low,60,6.540012985,School,0.654386296,1.194865556
Male,Rural,3.124004873,Middle,Low,51.10126772,5.820161839,Diploma,1.539846182,2.677174549
Female,Urban,6.343726558,Middle,Low,54.26066531,3.090587358,School,1.845039004,3.873086861
Male,Rural,4.175060608,Low,Low,53.86006096,4.881593271,School,1.170617965,3.124192978
Female,Rural,2.641374055,Middle,Low,59.40385693,5.261943717,Dropout,0.906600132,1.516685595
Male,Urban,7.680610813,Middle,Low,44.56291377,2.724171562,Dropout,1.798600771,5.589972725
Female,Rural,4.274505658,Low,Low,44.62584692,3.556388932,Diploma,1.993884742,3.68288537
Female,Rural,1.785207726,High,Low,60,8.06854806,PhD,0.64050846,1.865170898
Male,Urban,6.173729777,Low,Low,60,7.228417629,Diploma,1.536996919,4.127745833
Female,Rural,7.438218874,Low,Low,43.64331244,6.1983401,Diploma,2.377077175,5.629470864
Female,Urban,4.932890202,Low,Low,55.77841366,8.589858245,Graduate,1.575242749,2.870095046
Female,Urban,2.920250843,Low,Low,57.95772571,7.584949542,Diploma,0.858702275,1.569515426
Female,Rural,3.480014192,Middle,Low,46.27869671,2.461345119,School,1.480960133,2.680651014
Female,Urban,6.662499528,Middle,Moderate,56.18779829,7.200624947,Graduate,2.353647735,4.10840418
Male,Rural,6.421099865,Middle,Low,50.22428025,6.727993992,Graduate,1.210899638,3.293839907
Female,Rural,4.550474645,Middle,Low,58.16853928,5.267466178,Graduate,1.394261076,2.686767497
Female,Rural,6.541185803,Low,Low,57.82482198,6.930113996,Diploma,1.963039427,4.118161642
Female,Rural,4.268694547,Low,Low,57.22681339,5.813273545,School,0.616760469,1.583479527
Male,Urban,4.919593733,Low,Low,57.52168721,6.448241366,Diploma,1.221332534,3.487946632
Male,Urban,4.916835648,Low,Low,44.83714946,3.783717264,School,1.558705011,3.829490868
Female,Urban,4.910350322,Middle,Low,60,7.191680289,School,0.91360591,2.327258297
Male,Urban,7.225590717,Middle,Low,58.01374787,5.303105981,School,2.60393787,4.692786792
Male,Rural,7.070216933,Middle,Low,52.35807579,5.104335065,School,1.909844589,4.756220979
Female,Rural,3.389979726,Low,Low,55.31864107,4.620034946,School,1.207378418,2.404546575
Female,Rural,5.803479954,Middle,Low,58.45289968,4.286676678,School,1.127793034,3.366978445
Female,Urban,7.077803206,Low,Moderate,50.49423479,5.837574466,School,2.062773303,4.956244269
Female,Rural,4.016396297,Middle,Low,59.15547834,5.000923484,School,1.4080729,2.886417091
Male,Rural,2.330263058,Middle,Low,51.59925336,4.561063571,Graduate,0.787955479,2.275957661
Male,Rural,4.05038171,Low,Low,48.50056884,4.0547246,Diploma,1.092238376,3.005229255
Female,Urban,2.834497065,Low,Low,60,6.318329351,School,0.222060203,0.440446312
Female,Urban,5.228207917,Middle,Low,59.32403942,6.08276437,Diploma,1.539069666,3.637468358
Female,Rural,3.443367517,High,Low,58.68165854,5.575027937,Graduate,1.216233475,2.43451805
Male,Rural,5.988302853,Low,Low,60,5.823128003,School,0.768974873,2.117640492
Female,Rural,3.560516549,Low,Low,60,5.970890851,Diploma,0.707892135,2.012841254
Female,Urban,8.082316235,Middle,Moderate,51.96789998,8.093500746,Graduate,2.703997808,5.381277108
Male,Rural,6.894742246,Middle,Low,54.72471372,5.931694726,Diploma,1.212361005,2.87576452
Female,Urban,3.917040866,High,Low,54.93994089,7.362654781,Diploma,1.489616161,3.35064467
Male,Urban,6.678818316,High,Low,55.92331546,5.069709383,Graduate,1.486181122,2.877900331
Female,Urban,6.675433709,Low,Moderate,51.28792173,6.648290891,Graduate,1.536595512,4.187279191
Male,Urban,2.508723774,Middle,Low,51.67337697,3.001375751,Diploma,1.319040107,2.641657058
Female,Rural,3.911824465,High,Low,52.42100596,5.227319658,School,1.111050239,2.308080561
Female,Urban,2.94026427,Low,Low,58.96127063,6.490756736,Diploma,1.405506832,2.656732032
Female,Urban,6.307694032,Middle,Low,53.53631739,7.315825798,Diploma,2.410587101,5.263406437
Male,Urban,4.224428661,Middle,Low,51.47371509,5.053034869,Graduate,1.534563313,4.040260246
Female,Rural,4.067773442,Low,Low,57.59058224,6.175314206,School,1.252401795,3.038576769
Male,Urban,5.123973525,Middle,Low,53.34059793,4.331733898,School,2.337237296,4.044545082
Female,Rural,4.394685975,High,Low,60,6.730098389,School,1.102488309,2.073697706
Female,Rural,5.859294547,Middle,Low,54.1882394,4.043139827,Diploma,1.019145585,2.460294357
Female,Rural,5.092094812,Low,Low,45.27897819,1.392956824,Dropout,1.361195939,2.352960374
Male,Urban,5.355065675,Low,Low,59.25995548,7.466870726,Postgraduate,0.662758701,1.350114048
Female,Rural,1.740319518,Middle,,47.25909393,3.172515681,School,0.162900805,0.347300982
Female,Urban,5.161568236,High,Low,56.12849328,4.267127867,Dropout,1.557467296,3.500266514
Male,Urban,5.268211362,Middle,Low,57.84770909,7.369287148,Postgraduate,0.796258425,1.686232573
Female,Urban,6.51519854,High,Low,54.76141819,6.245057002,Postgraduate,1.074254264,3.125226192
Female,Urban,4.945966538,Middle,Low,59.23535091,8.411683522,School,1.052609998,3.144735091
Female,Rural,7.743476984,Low,Moderate,47.24696968,5.196271705,School,2.564804333,5.849063471
Female,Urban,5.206724815,Low,Low,55.57307344,5.038152919,Graduate,2.176874706,4.240737669
Male,Urban,7.027512332,Middle,Low,48.82280201,4.278401678,School,1.828012078,4.260280706
Female,Urban,6.955165787,Middle,Low,55.32578013,6.516383663,School,2.124494962,4.055292323
Male,Urban,6.857736266,High,Low,46.23894722,4.54726662,Graduate,2.197797712,3.984611471
Female,Urban,3.561789864,Low,Low,60,6.517089516,Graduate,0.86883937,1.991427693
Male,Urban,4.105247525,Low,Low,47.24462949,4.351680116,Diploma,1.922922404,3.525147597
Male,Rural,6.458337109,High,Low,53.15915195,5.740578861,School,2.163982162,4.087796021
Female,Rural,4.427764693,Middle,Low,50.47965958,4.536551295,School,0.991380881,1.748675831
Male,Rural,4.203040073,Low,Low,56.7647839,2.636536575,Dropout,1.162498777,3.789270991
Female,Rural,5.725680774,Low,Low,50.66417997,1.94190255,School,1.704857482,3.212236971
Female,Rural,4.034074516,Middle,Low,59.50527298,5.846975827,Diploma,1.084921172,2.409246045
Male,Rural,6.182682737,Low,Low,48.2524047,4.256483607,Diploma,1.7355181,3.054607971
Male,Urban,6.497465193,Low,Low,50.55862267,5.444351603,Dropout,2.551265219,4.352551903
Female,Rural,3.907760324,Middle,Moderate,52.37984237,6.010322757,School,2.305523974,4.039849562
Female,Urban,4.133824731,Middle,Low,60,7.273780211,Diploma,1.073533589,2.337764298
Male,Urban,4.866569289,Low,Low,46.96553495,4.772106043,Graduate,1.383130447,4.023190999
Male,Urban,1.981148004,Low,Low,60,5.237929943,School,0.711844717,1.304162625
Male,Urban,3.566944399,Low,Low,51.99675483,5.799238542,School,0.65694104,2.012206441
Male,Urban,4.169856349,Middle,Low,51.91673566,2.85285679,Diploma,0.989181267,2.079215326
Male,Rural,2.458841494,Low,Low,60,5.826119148,Graduate,0.483196465,1.163994689
Female,Urban,2.850873039,Middle,Low,59.45744741,5.254124828,School,0.769852129,1.783772883
Male,Urban,8.356411114,High,Low,60,8.02278389,Postgraduate,0.960198767,2.576514689
Male,Urban,4.561270577,High,Low,56.82949103,4.770742082,Diploma,1.232367158,2.809555556
Male,Rural,2.456538605,High,Low,54.06770087,5.709174898,School,1.095250586,2.224335246
Male,Rural,4.300733325,Low,Low,53.62563266,3.21176872,Diploma,0.836146127,2.548943791
Female,Urban,4.340386572,Low,Low,60,7.216158079,Graduate,1.385555533,2.540932806
Male,Rural,6.437312507,Middle,Low,56.31985797,7.60158132,Postgraduate,2.062089057,4.739692747
Female,Rural,3.675148674,Middle,Low,59.47372824,6.884835844,Graduate,1.15164553,3.574290528
Male,Urban,3.421471032,Middle,Low,54.95964315,5.049779755,School,1.013249784,2.101949035
Female,Urban,6.60946875,High,Low,57.84783656,3.677394344,School,1.00887144,3.252354425
Male,Urban,4.408622023,Low,Low,56.05363428,6.573052748,School,1.246070421,2.505051734
Female,Urban,4.001458503,Low,Low,56.73357433,7.352244802,School,1.507191336,3.300631553
Female,Urban,7.110059141,Middle,Moderate,51.84428619,5.126153772,Diploma,3.011577772,5.263776043
Female,Urban,2.054818655,Low,Low,56.36599216,5.088198648,Diploma,1.0942818,2.187871881
Female,Rural,6.02402358,Low,Low,46.40617908,4.209926063,Diploma,2.963551369,4.982661774
Male,Rural,4.299389702,Low,Low,56.58952064,7.073035153,Diploma,1.309417595,3.225736907
Female,Rural,3.709020637,Low,,60,6.872078827,Postgraduate,0.429785088,1.073425061
Female,Urban,4.241055673,Middle,Low,60,4.351900601,School,1.013832695,2.357816005
Male,Rural,5.501789691,Low,Low,54.48225603,2.127511463,School,1.615293078,3.370210486
Female,Rural,4.876750121,Low,Low,53.48174524,4.668621475,School,1.25637694,2.857350945
Male,Rural,7.31513656,Low,Low,52.51945177,4.94762644,Graduate,1.54825456,4.558787072
Male,Urban,2.882930146,Middle,Low,60,9.737714893,Graduate,0.589224575,1.21432339
Female,Urban,2.903805169,Low,Low,54.2501878,4.989923507,Diploma,1.047548026,3.12135992
Male,Urban,4.02803346,Middle,Low,57.45015763,5.890809455,Diploma,1.708510221,3.546175724
Male,Urban,3.203611951,Low,Low,56.24881997,4.822554176,School,0.444950976,1.448768155
Male,Rural,3.025348608,Low,Low,55.49907691,3.146547214,School,1.143956099,2.508983724
Female,Urban,4.592281213,Middle,Low,60,7.977633123,Diploma,0.731415101,2.311920919
Male,Rural,5.048257531,Middle,Low,47.15487084,2.595166397,Diploma,1.499545878,3.977110167
Female,Rural,5.455041052,Middle,Low,59.87136916,5.796827775,Diploma,0.93766097,3.072639179
Male,Urban,3.939667579,High,Low,49.50169563,2.663507545,Dropout,0.251570825,0.425864764
Female,Rural,4.793997981,Low,Low,54.44991089,5.587290011,Diploma,1.985524728,3.621617
Female,Urban,3.059776118,Middle,Low,57.40240517,5.306886226,School,0.86360702,2.052770761
Male,Urban,4.032554575,Middle,Low,53.57267482,5.651810973,Graduate,1.537566591,2.980469914
Male,Urban,7.431394602,Low,Low,59.25258392,5.73923856,Graduate,1.552974419,2.611976759
Male,Urban,7.567955771,High,Moderate,58.97116767,6.669921105,Graduate,2.249572078,5.162991446
Female,Urban,7.503661199,High,Low,50.69190741,6.21357268,School,2.109201531,4.423710505
Female,Rural,2.828578453,High,Low,49.37978627,3.387897953,School,0.566472266,1.581916424
Male,Rural,4.639807652,Low,Low,52.8319563,5.51442696,Diploma,1.446079613,4.748939321
Male,Rural,5.67780492,Middle,Moderate,39.39560643,2.423477144,Dropout,2.709409247,5.405724148
Male,Rural,4.128366149,Low,Low,60,7.483280266,Postgraduate,0.837156375,2.583943912
Male,Urban,5.643107129,Middle,Low,50.6186076,4.520852283,School,1.62786753,2.868342293
Female,Rural,4.250215522,Low,Low,50.22981342,3.142348809,School,1.533914831,4.703887822
Male,Rural,5.031339874,Middle,Low,44.07071718,2.933749278,Dropout,1.714198032,4.388159496
Male,Urban,6.091621792,Low,Low,51.35445279,5.506454025,Postgraduate,1.547191879,4.442347468
Female,Urban,5.944239479,Low,Low,44.84758948,4.539936198,Graduate,1.068310756,1.970211943
Male,Urban,4.330557328,Low,Low,57.23596606,4.747176019,Diploma,1.624650264,3.560783698
Male,Urban,5.706138917,High,Low,52.18666804,6.019409642,Diploma,1.17626146,2.327291037
Female,Rural,3.936097993,Middle,Low,53.84496457,4.062988687,School,1.298317911,3.195660134
Male,Urban,5.162665516,Middle,Low,45.83608351,4.548273261,Dropout,2.224756382,3.953989674
Female,Rural,5.59075104,High,Low,58.55172148,4.469788411,Diploma,1.104269171,2.57865262
Male,Urban,6.988141624,High,Low,56.953838,7.210420179,Graduate,1.727739932,3.377540434
Female,Urban,3.119754772,Middle,Low,60,7.930841057,Graduate,1.15559651,2.633099746
Male,Urban,5.081104875,Low,Low,57.92583731,6.777390432,Graduate,1.158089599,3.659957393
Male,Rural,1.887362079,Low,Low,49.89480625,5.025388559,Diploma,0.981356871,1.953189596
Female,Urban,4.092299887,Low,Low,59.50386219,8.737907414,Dropout,1.21560315,3.700908185
Female,Urban,4.852423282,Middle,Low,50.08889182,2.907396907,School,0.848770468,2.494113107
Female,Urban,6.119089042,Middle,Low,49.58143548,5.001804832,School,1.208193827,2.758924306
Male,Rural,6.212506594,Low,Low,59.27852328,5.732054325,Diploma,1.385056538,3.762712416
Male,Urban,6.334689509,High,Low,58.41601928,5.116541735,School,0.72995088,1.34120432
Male,Urban,3.918433844,Low,Low,52.01095593,4.328471599,School,1.400907706,2.838266082
Female,Urban,5.14744825,Middle,Low,54.9761734,6.596014675,Diploma,2.258325359,3.822849797
Female,Urban,5.63762523,Middle,Low,54.62537457,5.849973616,School,1.743535974,3.99379547
Female,Urban,4.788268906,Middle,Low,56.2501163,7.788953968,Diploma,1.778123023,3.069321495
Male,Urban,6.854906505,Low,Low,52.81967709,5.426845968,Diploma,2.754962571,5.264372525
Female,Urban,5.146161218,Middle,Low,55.91916408,6.410124034,Diploma,1.665611908,3.591925254
Male,Urban,4.923900811,Middle,Low,48.46614667,4.655527351,School,1.912757207,3.252038689
Female,Rural,6.532356339,Middle,Low,40.82235179,1.654336177,Dropout,3.008641455,5.268765084
Male,Rural,7.994788814,Low,Low,54.9679214,6.14708623,School,2.319553585,4.037267138
Male,Rural,3.21020114,Middle,Low,56.65526879,5.054208242,Graduate,0.638555561,1.618198792
Male,Urban,4.474590137,Low,Low,52.48364075,6.156813396,Dropout,1.005843015,1.759352231
Male,Urban,3.164521199,Middle,Low,51.37679829,5.270696772,Diploma,1.339683545,3.19437871
Male,Rural,3.103620948,Middle,Low,57.97425251,6.116005815,Diploma,0.362893424,0.987769004
Female,Rural,5.460910539,Middle,Low,54.24603325,7.352076898,School,1.04580513,2.952910359
Female,Urban,3.821671148,High,Low,60,8.923679545,Graduate,1.065158438,2.119364691
Female,Rural,4.545690145,Low,Low,59.7252634,6.782230312,Graduate,0.908557439,2.489574398
Female,Urban,2.399502578,Middle,Low,60,5.536517708,Dropout,1.060245255,2.601146627
Male,Rural,6.815288681,Middle,Low,50.18366648,4.123466219,School,2.298516601,4.671582369
Other,Urban,6.594582783,Low,Low,49.34380305,4.323253724,School,1.770185223,5.102906384
Female,Rural,4.057955886,Middle,Low,55.61768516,6.190693,School,1.049596014,1.791669702
Female,Rural,2.851434926,Middle,Low,60,6.493118133,School,0.715116735,2.156294725
Female,Rural,5.876161772,Low,Low,60,5.655616913,Graduate,1.371296515,2.77741954
Male,Urban,6.950432971,Middle,Low,60,7.926556699,Graduate,1.469229239,2.925076579
Male,Urban,5.913668273,Middle,Moderate,50.81197281,4.459961609,Dropout,1.468323797,4.39629063
Female,Rural,5.647555069,Middle,Low,53.35234475,6.424170158,Diploma,1.66105725,3.049916791
Female,Urban,6.435458974,Middle,Moderate,44.47829758,3.218737272,Diploma,2.685169484,4.887572696
