,gender,urban_rural,internet_access_hours,family_income_level,brain_rot_level,attention_span_minutes,academic_motivation,education_level,short_video_hours,social_media_hours
95,Other,Rural,5149081753,Middle,Low,5194541627,3242127378,Dropout,1941285669,4103469479
96,Female,Rural,5242739457,Low,Low,5257456876.257233,6831958023,Diploma,1392635277,3228433538
97,Male,Urban,7574369119,High,Low,5257456876.257233,7080603168,Graduate,0863203909,2042505183
98,Male,Urban,3847406502,Middle,Low,5250393942,5351393998,School,1015212312,3022096656
99,Male,Urban,8162853326,Middle,Low,5965766155,7951661611,PhD,2611319831,4438225727
100,Male,Urban,5813750355,Low,Low,5169229149,6202655003,School,2416383402,4081362617
101,Female,Urban,3178428862,Low,Low,4696333309,2317891161,Graduate,1312624549,2879416868
102,Male,Urban,4078756575,Low,Low,5184848031,3344693496,School,0693724888,2169275594
103,Female,Urban,662283351,Middle,Moderate,4390131898,4349506647,Dropout,2451209621,6095469598
104,Male,Urban,6812935637,Low,Low,5068114304,3408473493,Diploma,1008725697,2535715249
105,Male,Urban,4989237586,High,Low,5115934705,6179307634,School,1750696532,3440643781
106,Female,Urban,4885454841,Low,Moderate,5251998072,716876666,School,232717003,432449356
107,Male,Rural,5212649599,Middle,Low,5391411245,7476450305,Diploma,1696428125,4128422377
108,Male,Rural,4800990129,Middle,Low,5111995011,4132246724,Graduate,1127230217,3212059339
109,Male,Rural,3189496931,High,Low,5257456876.257233,63927208,Graduate,1012316147,2231518328
110,Female,Rural,3169573514,Low,Low,5338598994,4235857243,Dropout,168094319,3096585157
111,Male,Urban,5909962356,Low,Low,4789737568,3727009455,Dropout,1265932293,3828602914
112,Female,Urban,3732612794,Low,Low,5911039947,6188729925,School,1231609127,2322211128
113,Male,Urban,4595722852,Middle,Low,4884709967,1822188371,Dropout,1497109741,2668008134
114,Male,Urban,3213318666,Low,Low,5257456876.257233,788491431,Postgraduate,0316434249,055792027
115,Female,Urban,2310687519,Middle,Low,5644372877,5568969946,School,1554347208,3197632021
116,Female,Urban,3798806091,Middle,Low,5502477069,3923569429,School,1205092233,3889497141
117,Male,Urban,5115933441,Middle,Low,5257456876.257233,7417940374,School,1643155828,303670717
118,Female,Rural,6061570967,Middle,Low,5593174902,693725786,Diploma,1906320552,3282499361
119,Male,Urban,4624649095,Low,Low,5278928439,5470997341,Diploma,1572270206,3081688066
120,Male,Urban,3168513241,Middle,Low,5257456876.257233,5438905803,Graduate,0123614349,0311218873
121,Male,Rural,6414239831,Low,Low,5195545223,3926280921,School,2088901708,440319217
122,Female,Urban,5213969571,Middle,Low,5736072078,7025627225,Graduate,175252937,3736103903
123,Male,Urban,4565806516,Low,Low,5150396357,4408509505,School,1838673762,3745246164
124,Male,Urban,5397430538,High,Low,5257456876.257233,4324714666,Diploma,2151838534,3998677598
125,Female,Rural,3268760951,Low,Low,4960496459,497089785,School,1847511299,3216968045
126,Male,Urban,3901400449,Middle,Low,5161637622,5586713584,Diploma,1832615267,3301430754
127,Female,Rural,7982443879,High,Moderate,5257456876.257233,9001699926,Postgraduate,2729679506,581685863
128,Female,Rural,5702605329,Middle,Moderate,4849737088,6918375762,Diploma,1472073481,4098042471
129,Female,Rural,2241378962,Middle,Low,5257456876.257233,5740506002,School,0305882758,0995944754
130,Female,Urban,8473841328,Low,Low,5257456876.257233,7674554105,Graduate,2196956193,4262141225
131,Male,Urban,5709779555,Middle,Moderate,5003442011,6653962224,Postgraduate,2373062322,4194728537
132,Male,Urban,5181801468,High,Low,5718048765,5320651638,Postgraduate,083735661,2705695314
133,Female,Rural,4367107813,Middle,Low,5257456876.257233,6019110935,School,2037721397,3748371781
134,Female,Urban,1710611515,Middle,Low,5257456876.257233,6540012985,School,0654386296,1194865556
135,Male,Rural,3124004873,Middle,Low,5110126772,5820161839,Diploma,1539846182,2677174549
136,Female,Urban,6343726558,Middle,Low,5426066531,3090587358,School,1845039004,3873086861
137,Male,Rural,4175060608,Low,Low,5386006096,4881593271,School,1170617965,3124192978
138,Female,Rural,2641374055,Middle,Low,5940385693,5261943717,Dropout,0906600132,1516685595
139,Male,Urban,7680610813,Middle,Low,4456291377,2724171562,Dropout,1798600771,5589972725
140,Female,Rural,4274505658,Low,Low,4462584692,3556388932,Diploma,1993884742,368288537
141,Female,Rural,1785207726,High,Low,5257456876.257233,806854806,PhD,064050846,1865170898
142,Male,Urban,6173729777,Low,Low,5257456876.257233,7228417629,Diploma,1536996919,4127745833
143,Female,Rural,7438218874,Low,Low,4364331244,61983401,Diploma,2377077175,5629470864
144,Female,Urban,4932890202,Low,Low,5577841366,8589858245,Graduate,1575242749,2870095046
145,Female,Urban,2920250843,Low,Low,5795772571,7584949542,Diploma,0858702275,1569515426
146,Female,Rural,3480014192,Middle,Low,4627869671,2461345119,School,1480960133,2680651014
147,Female,Urban,6662499528,Middle,Moderate,5618779829,7200624947,Graduate,2353647735,410840418
148,Male,Rural,6421099865,Middle,Low,5022428025,6727993992,Graduate,1210899638,3293839907
149,Female,Rural,4550474645,Middle,Low,5816853928,5267466178,Graduate,1394261076,2686767497
150,Female,Rural,6541185803,Low,Low,5782482198,6930113996,Diploma,1963039427,4118161642
151,Female,Rural,4268694547,Low,Low,5722681339,5813273545,School,0616760469,1583479527
152,Male,Urban,4919593733,Low,Low,5752168721,6448241366,Diploma,1221332534,3487946632
153,Male,Urban,4916835648,Low,Low,4483714946,3783717264,School,1558705011,3829490868
154,Female,Urban,4910350322,Middle,Low,5257456876.257233,7191680289,School,091360591,2327258297
155,Male,Urban,7225590717,Middle,Low,5801374787,5303105981,School,260393787,4692786792
156,Male,Rural,7070216933,Middle,Low,5235807579,5104335065,School,1909844589,4756220979
157,Female,Rural,3389979726,Low,Low,5531864107,4620034946,School,1207378418,2404546575
158,Female,Rural,5803479954,Middle,Low,5845289968,4286676678,School,1127793034,3366978445
159,Female,Urban,7077803206,Low,Moderate,5049423479,5837574466,School,2062773303,4956244269
160,Female,Rural,4016396297,Middle,Low,5915547834,5000923484,School,14080729,2886417091
161,Male,Rural,2330263058,Middle,Low,5159925336,4561063571,Graduate,0787955479,2275957661
162,Male,Rural,405038171,Low,Low,4850056884,40547246,Diploma,1092238376,3005229255
163,Female,Urban,2834497065,Low,Low,5257456876.257233,6318329351,School,0222060203,0440446312
164,Female,Urban,5228207917,Middle,Low,5932403942,608276437,Diploma,1539069666,3637468358
165,Female,Rural,3443367517,High,Low,5868165854,5575027937,Graduate,1216233475,243451805
166,Male,Rural,5988302853,Low,Low,5257456876.257233,5823128003,School,0768974873,2117640492
167,Female,Rural,3560516549,Low,Low,5257456876.257233,5970890851,Diploma,0707892135,2012841254
168,Female,Urban,8082316235,Middle,Moderate,5196789998,8093500746,Graduate,2703997808,5381277108
169,Male,Rural,6894742246,Middle,Low,5472471372,5931694726,Diploma,1212361005,287576452
170,Female,Urban,3917040866,High,Low,5493994089,7362654781,Diploma,1489616161,335064467
171,Male,Urban,6678818316,High,Low,5592331546,5069709383,Graduate,1486181122,2877900331
172,Female,Urban,6675433709,Low,Moderate,5128792173,6648290891,Graduate,1536595512,4187279191
173,Male,Urban,2508723774,Middle,Low,5167337697,3001375751,Diploma,1319040107,2641657058
174,Female,Rural,3911824465,High,Low,5242100596,5227319658,School,1111050239,2308080561
175,Female,Urban,294026427,Low,Low,5896127063,6490756736,Diploma,1405506832,2656732032
176,Female,Urban,6307694032,Middle,Low,5353631739,7315825798,Diploma,2410587101,5263406437
177,Male,Urban,4224428661,Middle,Low,5147371509,5053034869,Graduate,1534563313,4040260246
178,Female,Rural,4067773442,Low,Low,5759058224,6175314206,School,1252401795,3038576769
179,Male,Urban,5123973525,Middle,Low,5334059793,4331733898,School,2337237296,4044545082
180,Female,Rural,4394685975,High,Low,5257456876.257233,6730098389,School,1102488309,2073697706
181,Female,Rural,5859294547,Middle,Low,5257456876.257233,4043139827,Diploma,1019145585,2460294357
182,Female,Rural,5092094812,Low,Low,4527897819,1392956824,Dropout,1361195939,2352960374
183,Male,Urban,5355065675,Low,Low,5925995548,7466870726,Postgraduate,0662758701,1350114048
184,Female,Rural,1740319518,Middle,,4725909393,3172515681,School,0162900805,0347300982
185,Female,Urban,5161568236,High,Low,5612849328,4267127867,Dropout,1557467296,3500266514
186,Male,Urban,5268211362,Middle,Low,5784770909,7369287148,Postgraduate,0796258425,1686232573
187,Female,Urban,651519854,High,Low,5476141819,6245057002,Postgraduate,1074254264,3125226192
188,Female,Urban,4945966538,Middle,Low,5923535091,8411683522,School,1052609998,3144735091
189,Female,Rural,7743476984,Low,Moderate,4724696968,5196271705,School,2564804333,5849063471
190,Female,Urban,5206724815,Low,Low,5557307344,5038152919,Graduate,2176874706,4240737669
191,Male,Urban,7027512332,Middle,Low,4882280201,4278401678,School,1828012078,4260280706
192,Female,Urban,6955165787,Middle,Low,5532578013,6516383663,School,2124494962,4055292323
193,Male,Urban,6857736266,High,Low,4623894722,454726662,Graduate,2197797712,3984611471
194,Female,Urban,3561789864,Low,Low,5257456876.257233,6517089516,Graduate,086883937,1991427693
195,Male,Urban,4105247525,Low,Low,4724462949,4351680116,Diploma,1922922404,3525147597
196,Male,Rural,6458337109,High,Low,5315915195,5740578861,School,2163982162,4087796021
197,Female,Rural,4427764693,Middle,Low,5047965958,4536551295,School,0991380881,1748675831
198,Male,Rural,4203040073,Low,Low,5257456876.257233,2636536575,Dropout,1162498777,3789270991
199,Female,Rural,5725680774,Low,Low,5066417997,194190255,School,1704857482,3212236971
200,Female,Rural,4034074516,Middle,Low,5950527298,5846975827,Diploma,1084921172,2409246045
201,Male,Rural,6182682737,Low,Low,5257456876.257233,4256483607,Diploma,17355181,3054607971
202,Male,Urban,6497465193,Low,Low,5055862267,5444351603,Dropout,2551265219,4352551903
203,Female,Rural,3907760324,Middle,Moderate,5237984237,6010322757,School,2305523974,4039849562
204,Female,Urban,4133824731,Middle,Low,5257456876.257233,7273780211,Diploma,1073533589,2337764298
205,Male,Urban,4866569289,Low,Low,4696553495,4772106043,Graduate,1383130447,4023190999
206,Male,Urban,1981148004,Low,Low,5257456876.257233,5237929943,School,0711844717,1304162625
207,Male,Urban,3566944399,Low,Low,5199675483,5799238542,School,065694104,2012206441
208,Male,Urban,4169856349,Middle,Low,5191673566,285285679,Diploma,0989181267,2079215326
209,Male,Rural,2458841494,Low,Low,5257456876.257233,5826119148,Graduate,0483196465,1163994689
210,Female,Urban,2850873039,Middle,Low,5945744741,5254124828,School,0769852129,1783772883
211,Male,Urban,8356411114,High,Low,5257456876.257233,802278389,Postgraduate,0960198767,2576514689
212,Male,Urban,4561270577,High,Low,5682949103,4770742082,Diploma,1232367158,2809555556
213,Male,Rural,2456538605,High,Low,5406770087,5709174898,School,1095250586,2224335246
214,Male,Rural,4300733325,Low,Low,5362563266,321176872,Diploma,0836146127,2548943791
215,Female,Urban,4340386572,Low,Low,5257456876.257233,7216158079,Graduate,1385555533,2540932806
216,Male,Rural,6437312507,Middle,Low,5631985797,760158132,Postgraduate,2062089057,4739692747
217,Female,Rural,3675148674,Middle,Low,5947372824,6884835844,Graduate,115164553,3574290528
218,Male,Urban,3421471032,Middle,Low,5495964315,5049779755,School,1013249784,2101949035
219,Female,Urban,660946875,High,Low,5784783656,3677394344,School,100887144,3252354425
220,Male,Urban,4408622023,Low,Low,5605363428,6573052748,School,1246070421,2505051734
221,Female,Urban,4001458503,Low,Low,5673357433,7352244802,School,1507191336,3300631553
222,Female,Urban,7110059141,Middle,Moderate,5184428619,5126153772,Diploma,3011577772,5263776043
223,Female,Urban,2054818655,Low,Low,5636599216,5088198648,Diploma,10942818,2187871881
224,Female,Rural,602402358,Low,Low,4640617908,4209926063,Diploma,2963551369,4982661774
225,Male,Rural,4299389702,Low,Low,5658952064,7073035153,Diploma,1309417595,3225736907
226,Female,Rural,3709020637,Low,,5257456876.257233,6872078827,Postgraduate,0429785088,1073425061
227,Female,Urban,4241055673,Middle,Low,5257456876.257233,4351900601,School,1013832695,2357816005
228,Male,Rural,5501789691,Low,Low,5448225603,2127511463,School,1615293078,3370210486
229,Female,Rural,4876750121,Low,Low,5348174524,4668621475,School,125637694,2857350945
230,Male,Rural,731513656,Low,Low,5251945177,494762644,Graduate,154825456,4558787072
231,Male,Urban,2882930146,Middle,Low,5257456876.257233,9737714893,Graduate,0589224575,121432339
232,Female,Urban,2903805169,Low,Low,5257456876.257233,4989923507,Diploma,1047548026,312135992
233,Male,Urban,402803346,Middle,Low,5745015763,5890809455,Diploma,1708510221,3546175724
234,Male,Urban,3203611951,Low,Low,5624881997,4822554176,School,0444950976,1448768155
235,Male,Rural,3025348608,Low,Low,5549907691,3146547214,School,1143956099,2508983724
236,Female,Urban,4592281213,Middle,Low,5257456876.257233,7977633123,Diploma,0731415101,2311920919
237,Male,Rural,5048257531,Middle,Low,4715487084,2595166397,Diploma,1499545878,3977110167
238,Female,Rural,5455041052,Middle,Low,5987136916,5796827775,Diploma,093766097,3072639179
239,Male,Urban,3939667579,High,Low,4950169563,2663507545,Dropout,0251570825,0425864764
240,Female,Rural,4793997981,Low,Low,5444991089,5587290011,Diploma,1985524728,3621617
241,Female,Urban,3059776118,Middle,Low,5740240517,5306886226,School,086360702,2052770761
242,Male,Urban,4032554575,Middle,Low,5357267482,5651810973,Graduate,1537566591,2980469914
243,Male,Urban,7431394602,Low,Low,5925258392,573923856,Graduate,1552974419,2611976759
244,Male,Urban,7567955771,High,Moderate,5897116767,6669921105,Graduate,2249572078,5162991446
245,Female,Urban,7503661199,High,Low,5069190741,621357268,School,2109201531,4423710505
246,Female,Rural,2828578453,High,Low,4937978627,3387897953,School,0566472266,1581916424
247,Male,Rural,4639807652,Low,Low,5257456876.257233,551442696,Diploma,1446079613,4748939321
248,Male,Rural,567780492,Middle,Moderate,3939560643,2423477144,Dropout,2709409247,5405724148
249,Male,Rural,4128366149,Low,Low,5257456876.257233,7483280266,Postgraduate,0837156375,2583943912
250,Male,Urban,5643107129,Middle,Low,5257456876.257233,4520852283,School,162786753,2868342293
251,Female,Rural,4250215522,Low,Low,5022981342,3142348809,School,1533914831,4703887822
252,Male,Rural,5031339874,Middle,Low,4407071718,2933749278,Dropout,1714198032,4388159496
253,Male,Urban,6091621792,Low,Low,5135445279,5506454025,Postgraduate,1547191879,4442347468
254,Female,Urban,5944239479,Low,Low,4484758948,4539936198,Graduate,1068310756,1970211943
255,Male,Urban,4330557328,Low,Low,5723596606,4747176019,Diploma,1624650264,3560783698
256,Male,Urban,5706138917,High,Low,5218666804,6019409642,Diploma,117626146,2327291037
257,Female,Rural,3936097993,Middle,Low,5384496457,4062988687,School,1298317911,3195660134
258,Male,Urban,5162665516,Middle,Low,4583608351,4548273261,Dropout,2224756382,3953989674
259,Female,Rural,559075104,High,Low,5855172148,4469788411,Diploma,1104269171,257865262
260,Male,Urban,6988141624,High,Low,5257456876.257233,7210420179,Graduate,1727739932,3377540434
261,Female,Urban,3119754772,Middle,Low,5257456876.257233,7930841057,Graduate,115559651,2633099746
262,Male,Urban,5081104875,Low,Low,5792583731,6777390432,Graduate,1158089599,3659957393
263,Male,Rural,1887362079,Low,Low,4989480625,5025388559,Diploma,0981356871,1953189596
264,Female,Urban,4092299887,Low,Low,5950386219,8737907414,Dropout,121560315,3700908185
265,Female,Urban,4852423282,Middle,Low,5008889182,2907396907,School,0848770468,2494113107
266,Female,Urban,6119089042,Middle,Low,4958143548,5001804832,School,1208193827,2758924306
267,Male,Rural,6212506594,Low,Low,5927852328,5732054325,Diploma,1385056538,3762712416
268,Male,Urban,6334689509,High,Low,5841601928,5116541735,School,072995088,134120432
269,Male,Urban,3918433844,Low,Low,5201095593,4328471599,School,1400907706,2838266082
270,Female,Urban,514744825,Middle,Low,5257456876.257233,6596014675,Diploma,2258325359,3822849797
271,Female,Urban,563762523,Middle,Low,5462537457,5849973616,School,1743535974,399379547
272,Female,Urban,4788268906,Middle,Low,5257456876.257233,7788953968,Diploma,1778123023,3069321495
273,Male,Urban,6854906505,Low,Low,5281967709,5426845968,Diploma,2754962571,5264372525
274,Female,Urban,5146161218,Middle,Low,5591916408,6410124034,Diploma,1665611908,3591925254
275,Male,Urban,4923900811,Middle,Low,4846614667,4655527351,School,1912757207,3252038689
276,Female,Rural,6532356339,Middle,Low,4082235179,1654336177,Dropout,3008641455,5268765084
277,Male,Rural,7994788814,Low,Low,5257456876.257233,614708623,School,2319553585,4037267138
278,Male,Rural,321020114,Middle,Low,5665526879,5054208242,Graduate,0638555561,1618198792
279,Male,Urban,4474590137,Low,Low,5248364075,6156813396,Dropout,1005843015,1759352231
280,Male,Urban,3164521199,Middle,Low,5137679829,5270696772,Diploma,1339683545,319437871
281,Male,Rural,3103620948,Middle,Low,5797425251,6116005815,Diploma,0362893424,0987769004
282,Female,Rural,5460910539,Middle,Low,5424603325,7352076898,School,104580513,2952910359
283,Female,Urban,3821671148,High,Low,5257456876.257233,8923679545,Graduate,1065158438,2119364691
284,Female,Rural,4545690145,Low,Low,5257456876.257233,6782230312,Graduate,0908557439,2489574398
285,Female,Urban,2399502578,Middle,Low,5257456876.257233,5536517708,Dropout,1060245255,2601146627
286,Male,Rural,6815288681,Middle,Low,5018366648,4123466219,School,2298516601,4671582369
287,Other,Urban,6594582783,Low,Low,4934380305,4323253724,School,1770185223,5102906384
288,Female,Rural,4057955886,Middle,Low,5561768516,6190693,School,1049596014,1791669702
289,Female,Rural,2851434926,Middle,Low,5257456876.257233,6493118133,School,0715116735,2156294725
290,Female,Rural,5876161772,Low,Low,5257456876.257233,5655616913,Graduate,1371296515,277741954
291,Male,Urban,6950432971,Middle,Low,5257456876.257233,7926556699,Graduate,1469229239,2925076579
292,Male,Urban,5913668273,Middle,Moderate,5081197281,4459961609,Dropout,1468323797,439629063
293,Female,Rural,5647555069,Middle,Low,5335234475,6424170158,Diploma,166105725,3049916791
294,Female,Urban,6435458974,Middle,Moderate,4447829758,3218737272,Diploma,2685169484,4887572696
295,Male,Urban,5511753146,Middle,Low,5257456876.257233,6095569497,Graduate,1402910408,2696524384
296,Female,Rural,502747965,Low,Low,5861104639,3096397062,School,1736223138,3301430505
297,Male,Urban,6995480674,High,Low,5559983723,5818292948,School,1722315311,4321063314
298,Male,Urban,6633487916,Middle,Low,5320831594,611212719,Dropout,1862169241,3958311959
299,Female,Urban,7168255149,High,Low,5257456876.257233,5037670555,School,1945319257,3339090234
300,Female,Urban,5662526452,High,Low,4903522112,3685530779,School,1641329902,3921479749
301,Other,Urban,6217724056,Middle,Low,5099305341,4085298349,School,0910750261,17339612
302,Male,Rural,4011848465,Middle,Low,5257456876.257233,7294187988,Diploma,1101345993,2411172141
303,Male,Urban,6225528412,Middle,Low,5473528229,533893005,School,2231352105,4316006405
304,Male,Rural,333176079,High,Low,5306410868,4144557201,School,0600160804,1516958316
305,Male,Urban,532892757,Middle,Moderate,4305628809,5610209736,School,182560962,4230047384
306,Female,Rural,5166880191,Middle,Low,5640151806,6820886296,Diploma,1891808231,3173412945
307,Female,Urban,4512998745,Middle,Low,5822956997,6391386797,Diploma,1680625223,3505027014
308,Male,Urban,4511521329,Middle,Low,5694433111,4093700255,Dropout,0761817497,2379290212
